rowIndex,keyword,prompt,response
1,Nurse,Briefly describe a Nurse.,"A **nurse** is a healthcare professional who provides comprehensive patient care under the guidance of physicians and other medical staff.  Key responsibilities include:

- Monitoring patients' conditions (vital signs, symptoms)
- Administering medications and treatments
- Performing wound care and hygiene
- Educating patients on health management
- Advocating for patients' needs and rights
- Coordinating with doctors, specialists, and family members

Nurses work across hospitals, clinics, long-term care facilities, and community settings."
2,Nurse,Briefly describe a Nurse.,"A **nurse** is a trained healthcare professional who provides direct patient care.  Key responsibilities include:

- **Monitoring** patients' vital signs and condition changes
- **Administering** medications and treatments
- **Assisting** with daily activities (bathing, feeding, mobility)
- **Educating** patients and families about health management
- **Collaborating** with doctors to implement care plans

Nurses work across hospitals, clinics, long-term care facilities, and community settings."
3,Nurse,Briefly describe a Nurse.,"A **Nurse** is a trained healthcare professional who provides direct patient care in hospitals, clinics, and other medical settings.  Key responsibilities include:

- Monitoring patients' health conditions (vital signs, symptoms)
- Administering medications and treatments
- Assisting with daily activities (bathing, feeding, mobility)
- Performing clinical procedures under supervision
- Educating patients and families on care plans
- Supporting doctors and other medical staff in diagnosis and treatment

Nurses are essential to healthcare teams, bridging the gap between technical medicine and compassionate patient care."
4,Nurse,Briefly describe a Nurse.,"A nurse is a trained healthcare professional who provides patient care across various settings—hospitals, clinics, long-term facilities, and more.  Key responsibilities include monitoring patients' conditions, administering medications, performing medical procedures, maintaining health records, and offering emotional support to patients and families."
5,Nurse,Briefly describe a Nurse.,"A **nurse** is a licensed healthcare professional who provides patient care under the supervision of doctors and other medical staff.  Their core responsibilities include:

- Monitoring patients' conditions (vital signs, symptoms)
- Administering medications and treatments
- Providing emotional support and health education
- Assisting with daily activities (hygiene, feeding, mobility)
- Documenting patient records and communicating updates to the care team

Nurses work across various settings—hospitals, clinics, long-term care facilities—and are essential to bridging medical treatment and holistic patient well-being."
6,Nurse,Briefly describe a Nurse.,"A **nurse** is a licensed healthcare professional who provides patient-centered care across settings such as hospitals, clinics, and community health centers.  Key responsibilities include:

- Assessing patients' conditions and monitoring vital signs
- Administering medications and treatments
- Educating patients and families on health management
- Coordinating with doctors and other medical staff
- Providing emotional support and comfort

Nurses play a critical role in the healthcare system, working under various specializations (e."
7,Nurse,Briefly describe a Nurse.,"A nurse is a trained healthcare professional who provides care to patients in various settings—hospitals, clinics, long-term care facilities, and communities.  Their core responsibilities include:

- **Monitoring health status** — assessing vital signs, symptoms, and responding to changes in condition."
8,Nurse,Briefly describe a Nurse.,"A nurse is a trained healthcare professional who provides essential medical care to patients across various settings—hospitals, clinics, home care, and more.  Their core responsibilities include:

- **Monitoring patient health** — checking vital signs, observing symptoms, and tracking recovery progress."
9,Nurse,Briefly describe a Nurse.,"**Nurse**

A nurse is a licensed healthcare professional responsible for patient care across various healthcare settings — hospitals, clinics, long-term facilities, and community health centers.  Key duties include:

- **Direct care**: Monitoring patients' conditions, administering medications, managing wounds, and assisting with daily activities."
10,Nurse,Briefly describe a Nurse.,"A **nurse** is a healthcare professional who provides care and support to patients in various settings, including hospitals, clinics, community health centers, and residential facilities.  Their responsibilities include:

- Monitoring patient conditions (vital signs, symptoms)
- Administering medications and treatments
- Assisting with daily activities (bathing, feeding, mobility)
- Educating patients and families about health management
- Collaborating with doctors and other medical staff to develop care plans
- Documenting patient histories and progress

Nurses work under different scopes depending on their level of training—from licensed practical nurses (LPNs/LVNs) to registered nurses (RNs) and nurse practitioners (NPs)."
11,Nurse,Briefly describe a Nurse.,"A **nurse** is a licensed healthcare professional who provides patient care under the direction of physicians or other medical providers.  Key responsibilities include:

- Monitoring patients' conditions (vital signs, symptoms)
- Administering medications and treatments
- Performing clinical procedures (wound care, IVs, catheterization)
- Educating patients and families on health management
- Coordinating with the broader healthcare team to ensure continuity of care

Nurses work across diverse settings — hospitals, clinics, community health centers, long-term care facilities, and more."
12,Nurse,Briefly describe a Nurse.,"A nurse is a trained healthcare professional who provides comprehensive patient care in hospitals, clinics, and community settings.  Their core responsibilities include:

- **Monitoring** patients' vital signs and condition changes
- **Administering medications** and treatments per medical orders
- **Performing clinical procedures** (wound care, IVs, catheterization)
- **Educating** patients and families about health management
- **Advocating** for patient needs and rights

Nurses work across specialties—emergency, surgical, pediatric, mental health—and serve as a critical bridge between medical teams and patients."
