rowIndex,keyword,prompt,response
1,Nurse,Briefly describe a Nurse.,"A nurse is a licensed healthcare professional who provides direct patient care, assesses health needs, administers treatments and medications, monitors conditions, and offers education and emotional support.  Nurses work across diverse settings (hospitals, clinics, homes, etc."
2,Nurse,Briefly describe a Nurse.,"A nurse is a licensed healthcare professional who provides direct patient care, assesses health conditions, administers treatments and medications, educates patients and families, and advocates for well-being—all while collaborating with other healthcare providers to promote healing, prevent illness, and support dignity in clinical, community, or home settings.."
3,Nurse,Briefly describe a Nurse.,"A nurse is a licensed healthcare professional who provides direct patient care, assesses health needs, administers treatments and medications, monitors vital signs, educates patients and families, and collaborates with other healthcare providers.  Nurses play a critical role in promoting health, preventing illness, supporting recovery, and ensuring compassionate, holistic care across settings like hospitals, clinics, homes, and schools."
4,Nurse,Briefly describe a Nurse.,"A nurse is a licensed healthcare professional who provides compassionate, patient-centered care to individuals across the lifespan—from wellness and prevention to illness management and rehabilitation.  Nurses assess patients, administer treatments (e."
5,Nurse,Briefly describe a Nurse.,"A nurse is a licensed healthcare professional who provides patient-centered care, assessing, diagnosing, treating, and supporting individuals, families, and communities across the health–illness continuum.  Nurses administer medications, monitor vital signs, educate patients, advocate for their needs, and collaborate with other healthcare providers—often serving as the primary point of contact in clinical settings."
6,Nurse,Briefly describe a Nurse.,"A nurse is a licensed healthcare professional who provides direct patient care, monitors health conditions, administers treatments and medications, educates patients and families, and collaborates with other healthcare providers.  Nurses advocate for patients, promote wellness, prevent illness, and support individuals through all stages of life—birth to end-of-life—across diverse settings such as hospitals, clinics, homes, and communities."
7,Nurse,Briefly describe a Nurse.,"A nurse is a healthcare professional trained to provide compassionate, patient-centered care—assessing health, administering treatments, monitoring conditions, and offering education and emotional support.  Nurses work across settings (hospitals, clinics, homes, etc."
8,Nurse,Briefly describe a Nurse.,"A nurse is a healthcare professional trained to provide patient-centered care, including assessing health, administering treatments, monitoring conditions, educating patients and families, and offering emotional support.  Nurses work across diverse settings (hospitals, clinics, homes, etc."
9,Nurse,Briefly describe a Nurse.,"A nurse is a licensed healthcare professional who provides compassionate, patient-centered care to individuals, families, and communities across settings like hospitals, clinics, and homes.  Registered Nurses (RNs) assess patients, develop and implement care plans, administer treatments and medications, monitor progress, educate patients, and collaborate with other healthcare providers—always prioritizing safety, ethics, and evidence-based practice."
10,Nurse,Briefly describe a Nurse.,"A nurse is a healthcare professional trained to provide patient-centered care, including assessing health status, administering treatments, monitoring conditions, and offering emotional support.  Nurses work across diverse settings—hospitals, clinics, homes, or schools—and collaborate with physicians and other team members to promote healing, prevent illness, and educate patients."
11,Nurse,Briefly describe a Nurse.,"A nurse is a licensed healthcare professional who provides compassionate, patient-centered care to promote health, prevent illness, and support recovery.  They assess patients, administer treatments and medications, monitor vital signs, educate individuals and families about health management, and collaborate with other healthcare providers."
